"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"TUBA8",84.8870104227166,0.189826389781433,0.0793201220798072,0.00485796324341658,0.0108553975123314,"Not Significant"
"CIRBP",20762.6993554156,-0.117816431042858,0.0446459417364058,0.00486916973149845,0.0108788906766082,"Not Significant"
"SAMM50",165.772646476613,0.261297636254419,0.117914024626131,0.00487249733845624,0.010883227801076,"Not Significant"
"ARID3A",101.781197253241,-0.267726349988264,0.121496841262619,0.00487234782428866,0.010883227801076,"Not Significant"
"WDR4",335.90459314821,0.175688459296608,0.0720807120766979,0.00487635893298452,0.0108903037336923,"Not Significant"
"NDUFAB1",166.241446133993,0.208196606098776,0.0890678038443421,0.0048864571719077,0.0109113038826555,"Not Significant"
"PSMB8",6517.99836093654,-0.14670910394586,0.0578106662431053,0.00489289154508394,0.0109241179263108,"Not Significant"
"ZNF311",52.3123491253931,-0.187836016987162,0.0783864344775798,0.0049002709102096,0.0109390378629732,"Not Significant"
"GRM6",15.5828852250878,0.322792732965459,0.153557803273421,0.00493230718987501,0.0110089881832581,"Not Significant"
"KCNK6",103.411319239821,-0.15306194789889,0.0609442123864241,0.00494182004582803,0.0110286531228856,"Not Significant"
"LAMA4",1335.22427791931,-0.215921642998214,0.0934057715888712,0.00495867125093213,0.0110631843040294,"Not Significant"
"ZNF879",90.3708421269439,-0.154631657728216,0.0617366352431789,0.00495870241703532,0.0110631843040294,"Not Significant"
"ZNF319",258.402159760534,-0.132983660887756,0.0515142624907512,0.00496255914214115,0.0110702157618096,"Not Significant"
"RAP2C",675.25849172376,-0.13598431412798,0.0529120574158874,0.00497650285641849,0.0110997435496193,"Not Significant"
"RAB21",1117.6974084547,-0.194814886056603,0.0822411598657004,0.0049843481467478,0.0111156627704461,"Not Significant"
"DPP9",1539.16278513007,-0.114613256115224,0.0434026472526821,0.00498949960281219,0.0111255707661059,"Not Significant"
"UBE4A",478.639994047763,-0.120698615587789,0.0460581413863956,0.00499908726204707,0.0111453663751973,"Not Significant"
"SLC46A1",257.397090893643,0.15555585871662,0.0622652590970025,0.00500286439505632,0.0111522037487412,"Not Significant"
"PFDN4",1570.61024363446,0.192327986974367,0.0809958267188076,0.00500961532382452,0.0111656673174397,"Not Significant"
"HIST1H1E",28.804222104242,-0.432200197146319,0.2247128708746,0.00501880017841735,0.0111845511428179,"Not Significant"
"TFPI2",197.351120088821,0.407553970341756,0.208082213474821,0.00503018247958409,0.011207622239572,"Not Significant"
"MLKL",616.598162239192,-0.208966443182548,0.0898777344991699,0.00503058050460278,0.011207622239572,"Not Significant"
"SATB1",506.786917754398,-0.155367030064524,0.0622429469381735,0.00504294484084209,0.0112335746312742,"Not Significant"
"EIF1B",188.821192894325,-0.241159959423917,0.10741289434205,0.00504492079600483,0.011234788155642,"Not Significant"
"CCDC115",316.598580382673,-0.176491670732865,0.0728495939449243,0.00504432950325219,0.011234788155642,"Not Significant"
"UNK",457.791708628914,0.122012939508465,0.0467117071078888,0.00506067642872099,0.0112682768303673,"Not Significant"
"SLC48A1",189.840358756203,-0.17966210864701,0.0745187992542119,0.00506184644335453,0.011269283772074,"Not Significant"
"MSANTD3",765.365983915833,0.18930497460749,0.0796221482247797,0.00509890476787106,0.0113501779179889,"Not Significant"
"ATP13A5",25.5756621193262,-0.28562004199762,0.132684343912145,0.00511330363562336,0.0113806162573415,"Not Significant"
"C4orf3",3088.67810502366,-0.105415740208883,0.0396352164723144,0.00511836631389085,0.0113902694724431,"Not Significant"
"CEP192",505.717533361451,-0.13030568865957,0.0505277744042953,0.00513565201573331,0.0114271168717422,"Not Significant"
"FOXS1",203.701343011457,-0.327434204828985,0.157520500851751,0.00513775644029002,0.0114301794122932,"Not Significant"
"MTCP1",607.344904869462,0.138616716364292,0.0543880942224007,0.00515126960195929,0.0114586189785719,"Not Significant"
"CNEP1R1",610.550140018057,-0.108236732460427,0.0408685179405667,0.00516371453617233,0.0114846746306709,"Not Significant"
"GNA15",942.537125596477,0.193442731408257,0.081964537606381,0.0051673335326249,0.0114894684127193,"Not Significant"
"AGO1",25.9943792432445,-0.552467027462913,0.311953377036786,0.00516722144618496,0.0114894684127193,"Not Significant"
"IL3RA",784.642232221583,-0.187859535867899,0.0790280005567357,0.00516970981815458,0.0114931243479222,"Not Significant"
"SMARCA4",1156.29732969954,0.160080996629341,0.0648754107473554,0.00521466900019148,0.0115914347023936,"Not Significant"
"CCR3",19.9344457202004,0.331861969928334,0.160681171507967,0.00521723388782101,0.011595494342977,"Not Significant"
"AOX1",290.51139705484,0.343177041131288,0.167709844376808,0.00522103869405268,0.011602308209006,"Not Significant"
"AC109583.3",15.7066509345636,0.289974483285598,0.135715997690882,0.00522661618303902,0.0116130588839107,"Not Significant"
"MTPAP",291.122905380019,0.116231062362124,0.0443729050857386,0.00523094295082908,0.0116210279224588,"Not Significant"
"CASP9",329.924164554063,0.181510996782421,0.075860295431295,0.00523826061767106,0.0116356383273112,"Not Significant"
"CNTNAP3",125.807190384617,0.214761005313397,0.0935815043558761,0.00523923462239143,0.0116361555483867,"Not Significant"
"INO80B",309.684448915404,0.217137926969839,0.0948787056123559,0.005241256705233,0.0116390000384948,"Not Significant"
"ALKBH5",802.682786840494,0.224016765029677,0.0986421514417206,0.00524471728909929,0.0116450376805061,"Not Significant"
"ZBTB12",138.795050289918,0.187904965982904,0.0792330611080236,0.00524885251362373,0.011652571332564,"Not Significant"
"HCFC1R1",5187.44839033486,-0.165448748587975,0.0676338526759597,0.00524961170856774,0.0116526090519601,"Not Significant"
"SCN1B",68.8399953417273,0.22063355019203,0.0968364029183155,0.0052595083472029,0.0116729263572357,"Not Significant"
"TRIM4",867.657954413682,-0.0968822883933525,0.0362371113306443,0.00526501657773748,0.0116834996848733,"Not Significant"
"SIAE",936.117199412328,0.148739000673862,0.0593917390799017,0.00527012217714285,0.0116931766790761,"Not Significant"
"PPFIBP2",759.861842917381,-0.14680468985464,0.0584684886927525,0.00527756688681794,0.0117080401473847,"Not Significant"
"INTS14",1021.96518738828,0.0752367163069733,0.0276430344982666,0.00528178178039763,0.0117157352291951,"Not Significant"
"EEF2",5103.8735859041,0.482404371359874,0.26273581623289,0.00528523207861163,0.0117217323964123,"Not Significant"
"SLC30A5",1013.82178458467,0.0980479718207912,0.0367409555915996,0.0052940295252509,0.0117395852466722,"Not Significant"
"CENPP",72.2003322785228,0.2273846291182,0.100647025455359,0.00529680061150331,0.0117440714024293,"Not Significant"
"ACBD4",759.177877578336,-0.139368444156043,0.0549615140580208,0.00530400189775341,0.0117583775479707,"Not Significant"
"LEFTY1",18.4964829144867,-0.341163202011289,0.166969143830736,0.00530620637759571,0.0117616038582878,"Not Significant"
"ABL1",202.69508775968,-0.173248646461556,0.0717511520542841,0.00532075374535104,0.0117921843311704,"Not Significant"
"MRPL13",1556.21479887374,0.147846650323993,0.0590653113477111,0.00533740142554754,0.0118274103572472,"Not Significant"
"TNPO2",1494.02526260154,0.0909528076342272,0.0338928887515789,0.00534416116513509,0.0118407183591054,"Not Significant"
"NPY1R",14.3070975495158,-0.451236005574576,0.241231396695271,0.00535481770001974,0.0118626552688458,"Not Significant"
"SKA3",16.0007770142395,0.400855666730269,0.206262588505386,0.00535671880624313,0.0118651926154087,"Not Significant"
"NPEPL1",1375.48558387989,-0.146316762653709,0.0583637271687535,0.00536213232324694,0.0118755081781601,"Not Significant"
"SPATA7",319.868803885022,0.15036636449136,0.0603484568849773,0.00537365165535371,0.0118993414653108,"Not Significant"
"MCFD2",2212.17648744405,-0.108183800824046,0.0410642278825157,0.00538103089302158,0.0119140015541445,"Not Significant"
"CWC25",389.906633313884,-0.160178393013556,0.065225373905242,0.00538468560768748,0.0119204123012822,"Not Significant"
"WAS",1481.59937428536,-0.195915733827887,0.0838193954514643,0.00539219891169044,0.0119353620348992,"Not Significant"
"SMIM7",3035.75507955251,-0.101076501214713,0.0380842564940566,0.00539480969421963,0.0119394575978641,"Not Significant"
"NPRL3",844.279763432119,-0.106236104821786,0.0402740696756794,0.00541914800527865,0.0119895220417703,"Not Significant"
"NPHP3",557.918473976493,-0.159200650785035,0.064796451904464,0.00541972216117475,0.0119895220417703,"Not Significant"
"ATP5MPL",7094.01239890145,0.130365387009633,0.050923650096824,0.00541844306596694,0.0119895220417703,"Not Significant"
"SCIMP",160.342385901925,-0.273887623346213,0.127246048439711,0.00542224250250435,0.0119934076203604,"Not Significant"
"ZNF687",212.57280535113,-0.171148277614353,0.0709083101336816,0.00544230814583996,0.0120360949274105,"Not Significant"
"RRM2",101.348577805316,0.330293282907968,0.161211509035882,0.00548129338090231,0.0121206064901643,"Not Significant"
"ZBTB38",1229.30915225206,-0.156669858596708,0.0636410171584658,0.0054839302539454,0.0121247296137083,"Not Significant"
"GLYATL1",8.62772694620318,0.352258812733057,0.175117491527788,0.00548908422825067,0.0121344159931759,"Not Significant"
"VSIG10L",120.517195474203,0.177894328737588,0.0745163783364374,0.00549694518432082,0.0121500829781553,"Not Significant"
"HS6ST1",13.5533403942231,0.360647063113816,0.180641134959696,0.00550644136621824,0.012169359438292,"Not Significant"
"NOTCH2",54.7722622064428,-0.289483428124782,0.136711379490013,0.00551284578961921,0.0121817985780467,"Not Significant"
"BACH1",270.674852446904,-0.230926572159131,0.10327684191148,0.00551703845894018,0.0121893475661921,"Not Significant"
"AC022137.3",57.6394906693664,-0.1581501013198,0.0644434138394165,0.00552083777933455,0.0121960254869217,"Not Significant"
"RHEX",542.353752571478,0.364257025974084,0.183168488847321,0.00553311775618966,0.0122214334232101,"Not Significant"
"STS",391.622157699994,0.16254342808346,0.0667228996804924,0.00555787147822779,0.0122726557254819,"Not Significant"
"MDN1",568.189278950326,0.190618471635846,0.0813718848243789,0.00555764807376207,0.0122726557254819,"Not Significant"
"TCERG1",1536.49495450133,0.135619757010742,0.053549915537815,0.00555893888510444,0.0122727149178945,"Not Significant"
"PAPSS1",264.033588480486,-0.188556799993415,0.08027616669337,0.00555946168764751,0.0122727149178945,"Not Significant"
"HGD",61.0556398806259,0.294247674229628,0.13979969134496,0.00557369859539784,0.0123024136015389,"Not Significant"
"PHC2",5023.97276764361,-0.197683488183326,0.0852355863472021,0.00558780857058721,0.0123318238063283,"Not Significant"
"SFSWAP",1051.8318534056,-0.0904545248319119,0.0338853042659398,0.00559254482450067,0.0123405416366353,"Not Significant"
"TRPC4",67.128734013103,0.310435256873307,0.14967264959159,0.00560605199735541,0.0123686082572344,"Not Significant"
