"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0150063","visual system development","44/1126","328/13425",0.134146341463415,1.59939132695057,3.32534514874136,0.00124348625192182,0.0269893038769396,0.0234061000720596,"STRA6/ALDH1A3/THY1/SAMD11/GRHL3/EPHB2/TFAP2A/SMOC1/SERPINF1/AQP5/MFAP2/OSR2/COL5A1/DRD2/FJX1/PROM1/USH1C/BFSP2/FOXC1/TMEM231/KERA/CNGA3/WT1/COL5A2/BMPR1B/TWIST1/RORB/BMP7/RP1/GPM6A/WNT7A/ACVRL1/CPAMD8/RS1/TSPAN12/NKD1/DLL4/JUN/KLF4/LAMC3/NTRK2/SHH/FBN3/GATA3",44
"GO:0001649","osteoblast differentiation","30/1126","200/13425",0.15,1.78841030195382,3.39894951639586,0.00127517816121192,0.0274879002634023,0.0238385008842601,"FHL2/CTHRC1/CYP24A1/COL1A1/IGF1/GREM1/SMOC1/PTHLH/IGFBP2/TP63/NELL1/WNT4/ITGA11/SHOX2/LTF/SPP1/SMO/BMPR1B/TWIST1/RORB/BMP7/SFRP1/PTPRB/ID1/RSPO2/PPARG/HEMGN/SMAD6/SHH/FFAR4",30
"GO:0035296","regulation of tube diameter","21/1126","123/13425",0.170731707317073,2.03558896157345,3.49105557749181,0.00130175500770482,0.0274879002634023,0.0238385008842601,"COMP/DRD5/BDKRB2/HTR2A/MMP2/CD38/FOXC1/AVPR1A/OXTR/CALCA/TACR1/ADRA1A/ADRB2/EDNRB/CAV1/ADRB1/SLC6A4/ACE/ADRA1D/KCNMB4/ADRA1B",21
"GO:0097530","granulocyte migration","21/1126","123/13425",0.170731707317073,2.03558896157345,3.49105557749181,0.00130175500770482,0.0274879002634023,0.0238385008842601,"CXCL13/DPEP1/THBS4/TRPV4/CCR7/MDK/FAM3D/CCL7/CCL24/CXCL6/CCL25/CCL13/CCL1/DAPK2/SLIT2/CSF3R/EMP2/PF4/S100A8/PLA2G1B/CD177",21
"GO:0097746","blood vessel diameter maintenance","21/1126","123/13425",0.170731707317073,2.03558896157345,3.49105557749181,0.00130175500770482,0.0274879002634023,0.0238385008842601,"COMP/DRD5/BDKRB2/HTR2A/MMP2/CD38/FOXC1/AVPR1A/OXTR/CALCA/TACR1/ADRA1A/ADRB2/EDNRB/CAV1/ADRB1/SLC6A4/ACE/ADRA1D/KCNMB4/ADRA1B",21
"GO:0001656","metanephros development","14/1126","68/13425",0.205882352941176,2.45468080660328,3.63867249820043,0.00131773952934961,0.0274879002634023,0.0238385008842601,"KIF26B/GREM1/RET/SIX1/OSR2/WNT4/AQP2/OSR1/WT1/SMO/EYA1/BMP7/SIX4/SHH",14
"GO:0003356","regulation of cilium beat frequency","6/1126","16/13425",0.375,4.47102575488455,4.20334365515295,0.00131826788697783,0.0274879002634023,0.0238385008842601,"DNAAF1/CCDC40/GAS2L2/CFAP43/CFAP206/CFAP45",6
"GO:0031649","heat generation","6/1126","16/13425",0.375,4.47102575488455,4.20334365515295,0.00131826788697783,0.0274879002634023,0.0238385008842601,"HTR2A/TNFSF11/ADRB2/EDNRB/ADRB1/IL1A",6
"GO:0048245","eosinophil chemotaxis","6/1126","16/13425",0.375,4.47102575488455,4.20334365515295,0.00131826788697783,0.0274879002634023,0.0238385008842601,"CCL7/CCL24/CCL25/CCL13/CCL1/DAPK2",6
"GO:0098743","cell aggregation","6/1126","16/13425",0.375,4.47102575488455,4.20334365515295,0.00131826788697783,0.0274879002634023,0.0238385008842601,"BARX2/LTF/BPIFA1/BMPR1B/COL11A1/WNT7A",6
"GO:0050805","negative regulation of synaptic transmission","10/1126","40/13425",0.25,2.9806838365897,3.79586913708571,0.00136350914573563,0.0283076355255984,0.0245494049396978,"DRD5/HTR2A/DRD2/CD38/GRIK2/GRIA1/AGER/ADCY8/SLC6A4/ARC",10
"GO:0072088","nephron epithelium morphogenesis","13/1126","61/13425",0.213114754098361,2.54091081151909,3.64963516599961,0.00138961258846255,0.0285136341885715,0.024728054427741,"KIF26B/ADAMTS16/GREM1/TMEM59L/SIX1/WNT4/OSR1/WT1/SMO/EYA1/SIX4/SHH/GATA3",13
"GO:0120192","tight junction assembly","13/1126","61/13425",0.213114754098361,2.54091081151909,3.64963516599961,0.00138961258846255,0.0285136341885715,0.024728054427741,"CLDN2/EPHB2/CLDN14/FRMPD2/CLDN16/CLDN1/CLDN8/ESAM/ACVRL1/RAMP2/CDH5/GPBAR1/CLDN5",13
