"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"DGAT1",1275.19222227143,-0.24995963859362,0.0528750404248177,1.46537286980191e-06,6.75663848924815e-06,"Not Significant"
"SEMA3D",141.353481962772,0.563356603267329,0.126495965203892,1.47228128067467e-06,6.78450722236346e-06,"Not Significant"
"WFDC12",70.1890569062985,-0.676568630306366,0.157469575081087,1.47208535906805e-06,6.78450722236346e-06,"Not Significant"
"ABCA7",1399.65609744221,-0.403636798531826,0.0876664389566174,1.4737681905867e-06,6.78936637095399e-06,"Not Significant"
"NBEAL2",4315.91777829653,-0.361406031470858,0.0779070036274994,1.47604171597396e-06,6.79784539184251e-06,"Not Significant"
"AC003665.1",342.501350763198,0.496002798930111,0.10971211366354,1.48725266865796e-06,6.84746829851318e-06,"Not Significant"
"CNOT6L",28.3872829841739,0.974756126351797,0.276578419329662,1.48926125524315e-06,6.85310078698029e-06,"Not Significant"
"DPY19L3",336.515271834076,0.258284999120014,0.0547433205144303,1.4893490372724e-06,6.85310078698029e-06,"Not Significant"
"KIAA1217",443.440787972091,0.40921728299144,0.0890183030716153,1.49181771805567e-06,6.86159384880283e-06,"Not Significant"
"ZNF25",20.4720383043822,0.836334317041061,0.212239801994755,1.49206887896897e-06,6.86159384880283e-06,"Not Significant"
"ELF2",1096.92497696717,0.169303739378628,0.0354781638693968,1.49608266850726e-06,6.87602397411123e-06,"Not Significant"
"LYSMD2",775.319947355912,-0.270772418410746,0.0575129234062732,1.49602294196292e-06,6.87602397411123e-06,"Not Significant"
"ARHGDIB",674.832168815346,-0.457044921475683,0.100350697518628,1.50164707533363e-06,6.89957830925898e-06,"Not Significant"
"FBXO36",24.2830732625952,0.477800934868485,0.105351598598722,1.50537937588807e-06,6.91470339421962e-06,"Not Significant"
"CAPRIN1",1901.86867614719,-0.217378260803543,0.0458297795172286,1.50968843343352e-06,6.93246809151984e-06,"Not Significant"
"FAM206A",155.978423872809,0.453175185640391,0.0994870678196707,1.52146155955314e-06,6.9844872763112e-06,"Not Significant"
"APBB1",1395.02761329682,-0.260992233061079,0.0554095447376115,1.53312112983069e-06,7.03595490743695e-06,"Not Significant"
"PUS1",834.396417343239,-0.354081066247456,0.0763617020043785,1.53462122301381e-06,7.04078118098096e-06,"Not Significant"
"CEP135",153.530730199146,0.258149821741944,0.0547864363606128,1.53594470041714e-06,7.04479456516187e-06,"Not Significant"
"NICN1",567.383409795486,0.242658646249341,0.051380829405465,1.53715959452845e-06,7.04830772023853e-06,"Not Significant"
"IMPA2",1237.93499600216,-0.350448891516454,0.0755368550986697,1.53778813313015e-06,7.04913100442143e-06,"Not Significant"
"ATP10B",13.9237639111246,0.645501723775795,0.148906242846397,1.54550073592608e-06,7.08241726621116e-06,"Not Significant"
"PKD1",2870.00378260251,0.307993670252625,0.0659213721122075,1.54955386471389e-06,7.09891907674585e-06,"Not Significant"
"CEP41",272.620618671298,0.417972072450596,0.0912307765483585,1.5507528811216e-06,7.10233962474011e-06,"Not Significant"
"SEMA6C",348.238537512453,-0.462233865143931,0.101765576285042,1.55736935210823e-06,7.13056250454919e-06,"Not Significant"
"SRSF9",1078.35357132286,0.273562420582142,0.0582596778815862,1.57390634602229e-06,7.20417773543732e-06,"Not Significant"
"RBMS3",466.57548812952,0.295026620756744,0.0630675501202064,1.58299101036871e-06,7.24301195481508e-06,"Not Significant"
"OLR1",821.262453744975,0.793218647458581,0.196460270631315,1.58331318655575e-06,7.24301195481508e-06,"Not Significant"
"BICC1",298.520532303177,0.403966510198375,0.088070367098135,1.59927553353521e-06,7.3139020904465e-06,"Not Significant"
"LTBP1",1933.96158320577,0.436508694334949,0.0957525332505941,1.6022836465296e-06,7.32552511663213e-06,"Not Significant"
"CXCL6",18.3832766155083,1.43942818027837,0.547128976511099,1.61107952453456e-06,7.36359491563105e-06,"Up"
"ARHGEF1",7643.00265613372,-0.318570853263769,0.0684360726091141,1.61633267832217e-06,7.38545490385857e-06,"Not Significant"
"ZNF782",71.1136497090935,0.268816968906708,0.057284885512312,1.62458201786507e-06,7.42098855993062e-06,"Not Significant"
"DAD1",320.162959262054,-0.377952951871953,0.082075799338162,1.62781481978838e-06,7.43359298158163e-06,"Not Significant"
"CCDC154",178.596359087486,-0.532368769976607,0.119262648932945,1.63935734992079e-06,7.48412631397395e-06,"Not Significant"
"TBC1D1",1923.17139484028,-0.283185401660479,0.0605262393440214,1.64896373097806e-06,7.5257937721964e-06,"Not Significant"
"COX7C",6790.99804641671,-0.286473251977694,0.0612641842732929,1.65027089623588e-06,7.52957078491815e-06,"Not Significant"
"MTMR11",470.197973411897,0.421378635318087,0.0923136615363602,1.65701769644689e-06,7.5581574184242e-06,"Not Significant"
"ANKRD54",307.058157032114,0.374492626509449,0.0813553312367342,1.66434502000526e-06,7.58937461925142e-06,"Not Significant"
"RCL1",247.275886678737,-0.433716238405031,0.0952666551370727,1.6678877006512e-06,7.60332081888033e-06,"Not Significant"
"LRRC1",80.9252459472415,0.552089818425075,0.124404037461346,1.67542556184179e-06,7.63546627602788e-06,"Not Significant"
"LYAR",204.7189284338,-0.605051567807932,0.138372335100178,1.68480784029587e-06,7.67599625439501e-06,"Not Significant"
"REL",212.091338141539,0.528922681732828,0.118557838928978,1.68610944272695e-06,7.67969778091472e-06,"Not Significant"
"TEPP",90.9075312954379,-0.499979192623312,0.111354640008087,1.68799355752809e-06,7.68604955138951e-06,"Not Significant"
"AC098650.1",12.7833816806476,0.411374240811152,0.0900343602369827,1.68944403629312e-06,7.69042370826385e-06,"Not Significant"
"DDX39A",2625.71071997596,-0.289447292914854,0.0620075194668709,1.69744531764867e-06,7.72460622814033e-06,"Not Significant"
"NOTCH4",1803.12198169647,-0.447371004174594,0.0986121980585818,1.70032135954188e-06,7.73545214280137e-06,"Not Significant"
