"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"LRRC1",80.9252459472415,-0.439033650986813,0.125484005154707,0.000223046761777123,0.000425392876567157,"Not Significant"
"SYNGR2",10098.3557248633,0.213211605487352,0.0584147868272736,0.000223533326774568,0.000426269067212525,"Not Significant"
"CARS2",1867.75909688196,0.205371811422483,0.0562326174775158,0.000224244650673963,0.000427573599171874,"Not Significant"
"KIF20A",42.2981475435033,0.537384376644054,0.158302387031702,0.000224556138796896,0.000428115528732394,"Not Significant"
"SNX19",1088.84844280795,-0.178390898314799,0.0487396677161845,0.000225600759212414,0.000430054871252416,"Not Significant"
"EGLN1",588.981129979049,-0.230597012354586,0.0633701538315841,0.000226875593562741,0.000432432538416296,"Not Significant"
"FAM71F2",90.4339295576355,-0.287187278417593,0.0795496644102313,0.000227050642947436,0.000432713655532259,"Not Significant"
"KCMF1",1038.2129278131,-0.297281533681831,0.0825263738672906,0.000228786389141393,0.000435968723087739,"Not Significant"
"TCF19",147.66432907357,0.349779090604265,0.0980598397879962,0.000229036018050086,0.000436391442158538,"Not Significant"
"PYGO2",52.3705154294011,-0.497761996427277,0.145029269601909,0.000229245739844489,0.000436738031253303,"Not Significant"
"CLUAP1",827.488615787074,0.398839167769584,0.11311188607152,0.000230661752330332,0.000439382372189544,"Not Significant"
"CDK9",2967.32960833126,-0.139962763361979,0.0381915408351775,0.000231059882799001,0.000440033983496399,"Not Significant"
"BRPF1",518.415041982969,-0.157060672077765,0.0429089572511497,0.000231052534030486,0.000440033983496399,"Not Significant"
"CRK",842.707214420205,-0.178069439282687,0.0487398668966715,0.000231570864166545,0.000440953616423865,"Not Significant"
"CYP27A1",314.515987148773,-0.389774461604369,0.110369565757718,0.000232570361688691,0.000442782037282786,"Not Significant"
"AC037459.1",41.331939937787,-0.482240745006494,0.140004083974385,0.000232587481622365,0.000442782037282786,"Not Significant"
"ATG14",349.766468682273,-0.163377782793274,0.0446928946467514,0.000233734662114765,0.000444912002328057,"Not Significant"
"SLC46A2",97.9297502371908,-0.642986682443174,0.197184072498393,0.000233795672181282,0.000444974185143185,"Not Significant"
"MROH9",75.2054832511048,0.800335279574737,0.260533512316779,0.000234142354185793,0.000445579995238418,"Not Significant"
"KRT39",8.78400944679788,0.662079437829843,0.204526864125385,0.000234575952859527,0.000446351043497101,"Not Significant"
"SHANK2",269.725327106448,-0.357203853504342,0.100514805710759,0.000235839783753232,0.000448701479026387,"Not Significant"
"FAM111B",42.7790858753697,0.46147841275875,0.133310678970976,0.000235969329896791,0.000448893551360672,"Not Significant"
"SETMAR",627.718109598494,0.176387592193142,0.0483433750495652,0.000236446077783982,0.000449745992392599,"Not Significant"
"MSTO1",1436.90728295682,0.242979286781347,0.0670758249840353,0.000236578372322903,0.000449943118772813,"Not Significant"
"ERLIN2",560.581274468903,-0.189784694781063,0.0520936116973686,0.00023740443565075,0.000451459500934687,"Not Significant"
"TRMT2B",265.653911844874,-0.174924850477886,0.0479557690586042,0.00023780330612407,0.000452163244053276,"Not Significant"
"IL12A",33.2262782659677,-0.576166603034438,0.172805732449009,0.000238181461005746,0.00045282743252485,"Not Significant"
"XRCC3",1128.08448067089,-0.333946845841793,0.093599213639856,0.000238321727840717,0.000453039245320168,"Not Significant"
"MRPS35",76.4172438362612,0.47360058893777,0.137456900685905,0.000239449891432936,0.000455069216424087,"Not Significant"
"ANGPTL8",45.7643508235849,-0.423856197755361,0.121316944906591,0.000239476551980625,0.000455069216424087,"Not Significant"
"PIF1",141.272971302785,0.419339291871633,0.119880695478828,0.000239429961099072,0.000455069216424087,"Not Significant"
"PRSS50",17.1434317904175,0.53191198462192,0.157268339151302,0.000240159442836894,0.000456311660721195,"Not Significant"
"TSPAN19",364.726238048488,0.791627715163684,0.257486387640552,0.000240369195104429,0.00045665493261611,"Not Significant"
"ANKRD12",400.88320296082,-0.300760203281441,0.0838508511538373,0.000240736123749442,0.000457296690001964,"Not Significant"
"ALDH3A2",2918.7541845864,-0.206605790585824,0.056867185829527,0.000240994312892395,0.000457731758094677,"Not Significant"
"FAM180A",51.8605173369708,0.643228963194797,0.197856702243489,0.000241748522462107,0.00045910872174369,"Not Significant"
"TMEM182",127.05028427207,-0.29474108476296,0.0821366109154203,0.000242628117915632,0.00046072344596945,"Not Significant"
"NOXA1",657.57280737254,0.312610590353721,0.0873951555422393,0.000243000163850877,0.000461374116877345,"Not Significant"
"ZCCHC4",101.151160962199,-0.304903236986292,0.0851365688831043,0.000243463724547615,0.000462198364618809,"Not Significant"
"GPR27",73.4861166902496,-0.347304576024337,0.0978233908204172,0.000245644485070192,0.000466281999226456,"Not Significant"
"EIF4G1",6495.7152250203,0.199228992066929,0.0548827101995435,0.000246473924883267,0.000467799881608715,"Not Significant"
"TTLL6",96.0874486313214,0.64197239886182,0.19772663333802,0.000246616494470155,0.00046801389619019,"Not Significant"
"SPACA9",225.567937432115,0.452635705377918,0.130888716287926,0.00024688242916114,0.000468461945592204,"Not Significant"
"EXOC8",266.5414733146,-0.182751605510206,0.0502719585331389,0.000247044424620323,0.000468712684778135,"Not Significant"
"FGD3",612.948824908326,-0.345030106653673,0.0971797428488065,0.000247084658509101,0.000468732375373717,"Not Significant"
"ERICH6B",60.8427621501583,-0.399726290363507,0.113989269344035,0.000247285069881525,0.000469055889469608,"Not Significant"
"USP50",12.6594486748606,0.512564816322317,0.150962611358461,0.000247388015761743,0.000469194472995815,"Not Significant"
"VNN2",255.620437629253,-0.541818827704292,0.161144984933749,0.000247881644001658,0.000470073899121394,"Not Significant"
"NYNRIN",65.142827888586,-0.684241841585267,0.214313824671294,0.000249494434888507,0.000473018068802024,"Not Significant"
"KIR3DL2",15.9085822211258,-0.598150566055738,0.181506250728726,0.00024946906660818,0.000473018068802024,"Not Significant"
"ELL3",273.935186239588,0.410445398654229,0.117472196575732,0.000250360678411071,0.000474603073056486,"Not Significant"
"COL5A1",2068.2427011473,0.450432309370093,0.130485861926315,0.000254611203918156,0.000482602426839918,"Not Significant"
"PDE12",113.519958591798,-0.557041532422687,0.166912659995905,0.000254789265898001,0.000482881636238364,"Not Significant"
"PPP3R1",29.5762703479695,-0.853741016066206,0.28639435362858,0.000255075146185293,0.000483365092952215,"Not Significant"
"ZNF518A",320.689960918015,-0.269699794538039,0.0751393125133217,0.000255216478546175,0.000483574549019424,"Not Significant"
"ACTN1",4675.09733576876,0.286350266638643,0.0800058085663082,0.000256157545070674,0.000485299077785638,"Not Significant"
"TRNT1",126.068461913197,-0.316999733093473,0.0890463756632842,0.000256463389761537,0.00048581988649326,"Not Significant"
"ERICH3",182.410877280698,0.823721193512526,0.273176222681753,0.000256892261155981,0.00048657359152478,"Not Significant"
"HPCA",13.5784920373913,0.622867905914396,0.191240126697139,0.000257675538297755,0.000487944839725625,"Not Significant"
"RAB19",29.2713688184987,0.432355520313775,0.124739106637308,0.000257709465669101,0.000487944839725625,"Not Significant"
"Z82206.1",14.8760152220195,-0.524076702074032,0.155450562805226,0.000257707599143868,0.000487944839725625,"Not Significant"
"CEACAM6",52.2842634483199,0.557987910427055,0.167418729417002,0.000257851678346181,0.00048815523333354,"Not Significant"
"ARL17A",412.190432132252,-0.239001345439246,0.0663605976156605,0.000258204190773,0.000488763659891018,"Not Significant"
"GLOD5",25.9057860380949,0.648037761271142,0.200946842831589,0.000259436007257009,0.000491036204211578,"Not Significant"
"CR1",31.5583580926067,-0.579817479593338,0.175396440831069,0.00025955823859472,0.000491208334852593,"Not Significant"
"TIAM2",329.214475555628,-0.142066599427413,0.0390961896677765,0.000260083977686266,0.000492143961633649,"Not Significant"
"USF2",2300.05925328079,-0.172017892608631,0.0474650836106446,0.000261401742336459,0.000494577892827477,"Not Significant"
"NEDD4L",2854.91111737781,-0.31529554844629,0.0886709484051191,0.000261625305742613,0.000494941233902763,"Not Significant"
"SERPINB7",16.3451599412858,0.945823376770197,0.330829733854973,0.000261672332019075,0.000494970555746924,"Not Significant"
"WDHD1",55.5145210317942,0.319461811307571,0.0899226660285541,0.000262049247027831,0.000495623801751229,"Not Significant"
"SARNP",850.226170917267,0.193033062220995,0.053379490251671,0.000262258437777681,0.000495959705264947,"Not Significant"
"FGG",2143.83720212221,-0.941868500204009,0.329015106627703,0.000262653002368029,0.000496646048076364,"Not Significant"
"TMEM169",21.321125058933,-0.34377950265673,0.0972862501380808,0.000264090380615913,0.000499303826549836,"Not Significant"
"ADCY2",94.900151377027,0.376571015676632,0.107339294045449,0.000264346994966906,0.00049972881649373,"Not Significant"
"TNNI2",613.593373357692,0.429394099094159,0.12405461621184,0.000264973941850006,0.00050085370660307,"Not Significant"
"PYCR3",93.8380349108796,0.275364211875477,0.0769962908033453,0.000265069253314652,0.000500973549661735,"Not Significant"
"WDR20",614.327145067012,-0.097579330139671,0.026834657374881,0.000266719971229961,0.000504032685160132,"Not Significant"
"CPED1",183.879528844964,-0.342545954721464,0.0969872521565613,0.000266805652669776,0.000504133920678238,"Not Significant"
"AGAP5",281.128697534815,-0.302105993458127,0.0849258472505958,0.000268531186920661,0.000507333289368757,"Not Significant"
"TBRG1",1236.33600912931,-0.158527929473816,0.0437826861333693,0.000268875317338987,0.000507922329710276,"Not Significant"
"URGCP",879.935144620824,0.149874041977854,0.041376983280795,0.000269916580594585,0.000509827997513833,"Not Significant"
"NIN",529.852127155587,-0.222703691746886,0.0619126009349679,0.00027004361039261,0.000510006578030071,"Not Significant"
"ANKRD45",162.718411434575,0.618349507790713,0.190349431602633,0.000270472755351676,0.000510694198318859,"Not Significant"
"NPIPB13",209.486769160565,-0.331818526221349,0.0938437999281482,0.000270466043016649,0.000510694198318859,"Not Significant"
"RBCK1",3889.38945075769,0.148847606186622,0.0411068092391217,0.000271414031812222,0.000512409848418938,"Not Significant"
"PTBP2",654.824880255726,-0.251080247785394,0.0700808098974929,0.00027145893968693,0.000512433011071877,"Not Significant"
"SLC9A3",36.3812180625744,-0.481641610486932,0.141562251998497,0.00027188295008688,0.00051317171391729,"Not Significant"
"TBL2",833.206243078811,0.166946656625122,0.0461887377325202,0.000272933251457138,0.000515092204336708,"Not Significant"
